seed,kl,M,method,num_samples
2,0.12334159181158455,2,F1F2,100000
4,0.12519780673279612,2,F1F2,100000
6,0.12516768029190217,2,F1F2,100000
8,0.12443858507286265,2,F1F2,100000
10,0.1230920167567291,2,F1F2,100000
12,0.1221113349766334,2,F1F2,100000
14,0.12445045145561906,2,F1F2,100000
16,0.12245521609930421,2,F1F2,100000
18,0.12006529023644319,2,F1F2,100000
20,0.12199331964316329,2,F1F2,100000
22,0.12220940632105481,2,F1F2,100000
24,0.12368306346179736,2,F1F2,100000
26,0.12238631702768998,2,F1F2,100000
28,0.12410142563100379,2,F1F2,100000
30,0.1239471645346768,2,F1F2,100000
32,0.12308250079521343,2,F1F2,100000
34,0.12467622756925678,2,F1F2,100000
36,0.12268123955655241,2,F1F2,100000
38,0.12329889542541395,2,F1F2,100000
40,0.12298610431523471,2,F1F2,100000
2,0.11762817071757681,3,F1F2,100000
4,0.11716648112712136,3,F1F2,100000
6,0.11938613860463221,3,F1F2,100000
8,0.11851487311628972,3,F1F2,100000
10,0.1193765690046753,3,F1F2,100000
12,0.12008438316566483,3,F1F2,100000
14,0.11585452089384773,3,F1F2,100000
16,0.12013962333868733,3,F1F2,100000
18,0.11881926882203686,3,F1F2,100000
20,0.11802048642680063,3,F1F2,100000
22,0.11678954184996826,3,F1F2,100000
24,0.11944658973875732,3,F1F2,100000
26,0.11606053712320374,3,F1F2,100000
28,0.11791549520377131,3,F1F2,100000
30,0.11816268787932671,3,F1F2,100000
32,0.11630709554512464,3,F1F2,100000
34,0.11724995894924461,3,F1F2,100000
36,0.1161046149056304,3,F1F2,100000
38,0.12029757870540081,3,F1F2,100000
40,0.1152515832569776,3,F1F2,100000
2,0.05858848458959898,6,F1F2,100000
4,0.05938078314763118,6,F1F2,100000
6,0.06003466574300731,6,F1F2,100000
8,0.059132577927144325,6,F1F2,100000
10,0.05861364593547691,6,F1F2,100000
12,0.05961888298107709,6,F1F2,100000
14,0.061028271058646055,6,F1F2,100000
16,0.05870132673832629,6,F1F2,100000
18,0.06101302984390955,6,F1F2,100000
20,0.05814193694533998,6,F1F2,100000
22,0.06032563853280948,6,F1F2,100000
24,0.05940607208252402,6,F1F2,100000
26,0.059731773371968444,6,F1F2,100000
28,0.05882891001586188,6,F1F2,100000
30,0.05837156295419632,6,F1F2,100000
32,0.05887563418868069,6,F1F2,100000
34,0.05957457481256512,6,F1F2,100000
36,0.05870458592167083,6,F1F2,100000
38,0.05969809966757467,6,F1F2,100000
40,0.05797351850403487,6,F1F2,100000
2,0.018639320622540367,10,F1F2,100000
4,0.017674218549146303,10,F1F2,100000
6,0.01815768859951561,10,F1F2,100000
8,0.017826262751210464,10,F1F2,100000
10,0.017966096227560513,10,F1F2,100000
12,0.018269268927056714,10,F1F2,100000
14,0.01789343554094458,10,F1F2,100000
16,0.01843875225663183,10,F1F2,100000
18,0.01775339916082075,10,F1F2,100000
20,0.016710895903678136,10,F1F2,100000
22,0.018601039062549063,10,F1F2,100000
24,0.017675570138429464,10,F1F2,100000
26,0.018642581749684695,10,F1F2,100000
