seed,kl,M,method,num_samples
2,0.1450434725553187,2,SigmoidF2,100000
4,0.1439104516784404,2,SigmoidF2,100000
6,0.145894176364596,2,SigmoidF2,100000
8,0.14471493861939067,2,SigmoidF2,100000
10,0.14446459819849622,2,SigmoidF2,100000
12,0.14422450372738993,2,SigmoidF2,100000
14,0.14677592140311901,2,SigmoidF2,100000
16,0.1463097766708259,2,SigmoidF2,100000
18,0.14466215225742474,2,SigmoidF2,100000
20,0.14736981204110933,2,SigmoidF2,100000
22,0.14537844626486773,2,SigmoidF2,100000
24,0.14613287315509993,2,SigmoidF2,100000
26,0.143865248155425,2,SigmoidF2,100000
28,0.14452038286529856,2,SigmoidF2,100000
30,0.1437989950345333,2,SigmoidF2,100000
32,0.14545140968151316,2,SigmoidF2,100000
34,0.1445066110028037,2,SigmoidF2,100000
36,0.14434509007616825,2,SigmoidF2,100000
38,0.14421758481593372,2,SigmoidF2,100000
40,0.14507660682424373,2,SigmoidF2,100000
2,0.12819641056013964,3,SigmoidF2,100000
4,0.12950088771443546,3,SigmoidF2,100000
6,0.12773615961589613,3,SigmoidF2,100000
8,0.12800332400863468,3,SigmoidF2,100000
10,0.1322614438021823,3,SigmoidF2,100000
12,0.12930459718775467,3,SigmoidF2,100000
14,0.12989888051523835,3,SigmoidF2,100000
16,0.12786715401975002,3,SigmoidF2,100000
18,0.13055064585470433,3,SigmoidF2,100000
20,0.12662333317435426,3,SigmoidF2,100000
22,0.1287146035246849,3,SigmoidF2,100000
24,0.12806298125500604,3,SigmoidF2,100000
26,0.12768419449316326,3,SigmoidF2,100000
28,0.13021273223375118,3,SigmoidF2,100000
30,0.12742948558569722,3,SigmoidF2,100000
32,0.1280408705627778,3,SigmoidF2,100000
34,0.12877147016327584,3,SigmoidF2,100000
36,0.12468451877812825,3,SigmoidF2,100000
38,0.128199165724169,3,SigmoidF2,100000
40,0.12708439067312938,3,SigmoidF2,100000
2,0.07623304530156716,6,SigmoidF2,100000
4,0.07626110581136203,6,SigmoidF2,100000
6,0.07726018000521151,6,SigmoidF2,100000
8,0.07654216568510108,6,SigmoidF2,100000
10,0.07847131145200947,6,SigmoidF2,100000
12,0.07718364386806797,6,SigmoidF2,100000
14,0.07829209024618677,6,SigmoidF2,100000
16,0.0755857088969023,6,SigmoidF2,100000
